sys_updated_at,name,source,source_url,standard_province,standard_prefecture,standard_county,address,x,y,confirmed
2020-02-05 15:10:35.461317+08,金牛路,腾讯看点,https://ncov.html5.qq.com/community,河南省,信阳市,浉河区,河南省信阳市浉河区金牛路,114.058643,32.162083,1
2020-02-05 15:50:42.497575+08,大昌超市海逸城邦店负一停车场,江门发布,https://mp.weixin.qq.com/s/i9ofxaXAC00oXvDCHtoZyQ,广东省,江门市,蓬江区,广东省江门蓬江区大昌超市海逸城邦店负一停车场,113.067311,22.621306,-1
2020-02-05 15:16:52.344082+08,万达华府,腾讯看点,https://ncov.html5.qq.com/community,江西省,南昌市,东湖区,江西省南昌市红谷滩新区沙井街道万达华府,115.85485,28.666983,2
2020-02-05 15:45:37.516448+08,龙岗街道宝能悦澜山,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,龙岗区,广东省深圳龙岗区龙岗街道宝能悦澜山,114.250028,22.734926,-1
2020-02-05 15:12:07.448123+08,金叶花园,腾讯看点,https://ncov.html5.qq.com/community,江西省,新余市,渝水区,江西省新余市渝水区城北街道金叶花园,114.948336,27.796228,1
2020-02-05 14:54:37.559912+08,汉丰街道,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,开州区,重庆市开州区汉丰街道,108.394669,31.164999,2
2020-02-05 15:08:32.554974+08,豫立首府小区,腾讯看点,https://ncov.html5.qq.com/community,河南省,商丘市,梁园区,河南省商丘市梁园区东风办事处豫立首府小区,115.670642,34.445062,2
2020-02-05 15:51:35.114469+08,龙头镇绿水村委会山口村,健康湛江,https://mp.weixin.qq.com/s/4z6VMsRUUlQFhxdX65dGeg,广东省,湛江市,坡头区,广东省湛江坡头区龙头镇绿水村委会山口村,110.45415,21.33992,1
2020-02-05 15:15:05.245927+08,玉紫花园,腾讯看点,https://ncov.html5.qq.com/community,江西省,新余市,渝水区,江西省新余市玉紫花园,114.942153,27.804101,1
2020-02-05 15:49:29.184813+08,袁屋边社区,东莞市卫生健康局,https://mp.weixin.qq.com/s/os5Nj3fLrM7K1ZQP5HrpMQ,广东省,东莞市,,广东省东莞南城街道袁屋边社区,113.716601,22.989763,-1
2020-02-05 15:42:39.87818+08,瑞宝街道金碧花园,广州交通电台,https://mp.weixin.qq.com/s/NuYWXeOOQmghBOoWfs_DaA,广东省,广州市,海珠区,广东省广州海珠区瑞宝街道金碧花园,113.287554,23.069785,-1
2020-02-05 14:54:23.639+08,新利村,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,合川区,重庆市大足区邮亭镇新利村新利村,106.267571,29.971687,5
2020-02-05 14:54:57.408407+08,水口镇,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,江津区,重庆市云阳区水口镇,106.440735,29.175388,1
2020-02-05 15:07:49.717284+08,烟草局家属院,腾讯看点,https://ncov.html5.qq.com/community,河南省,郑州市,登封市,河南省郑州市巩义市园丁街烟草局家属院,113.025999,34.459082,2
2020-02-05 14:55:49.616852+08,豪悦御景,腾讯看点,https://ncov.html5.qq.com/community,福建省,莆田市,城厢区,福建省莆田市城厢区荔城中大道豪悦御景,119.00321,25.447634,-1
2020-02-05 15:45:46.111498+08,龙华街道新华苑2期,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,龙华区,广东省深圳龙华区龙华街道新华苑2期,114.036553,22.655085,-1
2020-02-05 15:10:16.171098+08,街道,腾讯看点,https://ncov.html5.qq.com/community,河南省,信阳市,光山县,河南省信阳市罗山县楠杆镇街道,114.916956,31.996206,1
2020-02-05 15:32:56.215192+08,恒大御景半岛,腾讯看点,https://ncov.html5.qq.com/community,广东省,佛山市,南海区,广东省佛山市南海区里水镇金沙洲恒大御景半岛,113.204257,23.193574,1
2020-02-05 15:49:09.691243+08,桂城街道怡翠馨园,健康佛山,https://mp.weixin.qq.com/s/PuE0q3wBIKkCgcWE2akKtQ,广东省,佛山市,南海区,广东省佛山南海区桂城街道怡翠馨园,113.168916,23.02593,1
2020-02-05 15:36:24.520415+08,如意家园,腾讯看点,https://ncov.html5.qq.com/community,山东省,济宁市,任城区,山东省济宁市任城区如意家园,116.630949,35.415269,1
2020-02-05 15:18:10.716882+08,甘棠街道,腾讯看点,https://ncov.html5.qq.com/community,江西省,九江市,浔阳区,江西省九江市浔阳区甘棠街道,116.004066,29.729229,4
2020-02-05 14:59:54.485105+08,洋沙湖片区金和村,腾讯看点,https://ncov.html5.qq.com/community,湖南省,岳阳市,湘阴县,湖南省岳阳市湘阴县文星镇洋沙湖片区金和村,112.932136,28.618278,1
2020-02-05 15:51:19.748423+08,卜蜂莲花超市,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,广东省,潮州市,潮安区,广东省潮州潮安区卜蜂莲花超市,116.614986,23.655068,-1
2020-02-05 14:58:01.92124+08,曾厝垵社,腾讯看点,https://ncov.html5.qq.com/community,福建省,厦门市,思明区,福建省厦门市思明区环岛路曾厝垵社,118.120121,24.433918,1
2020-02-05 15:49:53.32956+08,丽景名筑,中山发布,https://mp.weixin.qq.com/s/fJ_CMHg18DsFeLc7bmcrQQ,广东省,中山市,,广东省中山东升镇丽景名筑,113.268203,22.619877,-1
2020-02-05 15:36:43.906841+08,东茂王村,腾讯看点,https://ncov.html5.qq.com/community,山东省,泰安市,东平县,山东省泰安市东平县银山镇东茂王村,116.1482,36.074969,1
2020-02-05 15:10:07.628295+08,东方今典,腾讯看点,https://ncov.html5.qq.com/community,河南省,信阳市,平桥区,河南省信阳市羊山新区东方今典,114.168694,32.14033,1
2020-02-05 15:11:27.357099+08,邱大湾村,腾讯看点,https://ncov.html5.qq.com/community,河南省,信阳市,光山县,河南省信阳市光山县斛山乡邱大湾村,115.081388,31.890445,1
2020-02-05 15:31:41.064872+08,锦江之星,腾讯看点,https://ncov.html5.qq.com/community,广东省,广州市,越秀区,广东省广州市海珠区锦江之星,113.261592,23.133164,-1
2020-02-05 15:15:08.038499+08,水澜山,腾讯看点,https://ncov.html5.qq.com/community,江西省,新余市,渝水区,江西省新余市水澜山,114.949482,27.832901,1
2020-02-05 14:59:02.855374+08,石板滩镇,腾讯看点,https://ncov.html5.qq.com/community,湖南省,常德市,鼎城区,湖南省常德市鼎城区石板滩镇,111.640741,29.151819,1
2020-02-05 15:44:21.761793+08,海岸明珠,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,南山区,广东省深圳南山区海岸明珠,113.932094,22.516114,-1
2020-02-05 15:42:14.488394+08,科韵路地铁站A口,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200204258092.html?layer=2&share=chat&isndappinstalled=0,广东省,广州市,天河区,广东省广州天河区科韵路地铁站A口,113.37406,23.12042,-1
2020-02-05 15:08:21.911444+08,老城大街,腾讯看点,https://ncov.html5.qq.com/community,河南省,平顶山市,鲁山县,河南省平顶山市鲁山县老城大街,112.91735,33.740312,1
2020-02-05 15:40:13.982766+08,耀龙康城,腾讯看点,https://ncov.html5.qq.com/community,云南省,昆明市,五华区,云南省昆明市五华区耀龙康城,102.73025,25.098517,1
2020-02-05 15:42:46.72506+08,人民街道万艺维福顿公寓,广州市卫健委,http://wjw.gz.gov.cn/ztzl/xxfyyqfk/yqtb/content/post_5649287.html,广东省,广州市,越秀区,广东省广州越秀区人民街道万艺维福顿公寓,113.267374,23.115679,-1
